,A,B,C,D
0,0.47143516373249306,-1.1909756947064645,1.4327069684260973,-0.3126518960917129
1,-0.7205887333650116,0.8871629403077386,0.8595884137174165,-0.6365235044173491
2,0.015696372114428918,-2.2426849541854055,1.150035724719818,0.9919460223426778
3,0.9533241281124304,-2.0212548201949705,-0.334077365808097,0.002118364683486495
4,0.405453411570191,0.2890919409800353,1.3211581921293856,-1.5469055532292402
5,-0.2026463246291819,-0.6559693441389339,0.19342137647035826,0.5534389109567419
6,1.3181515541801367,-0.4693052847058996,0.6755540851223808,-1.8170272265901968
7,-0.1831085401789987,1.0589691875711504,-0.3978402281999914,0.3374376536139724
8,1.0475785728927218,1.0459382556276653,0.8637172916848387,-0.12209157484767426
9,0.12471295376821585,-0.32279480560829565,0.8416747129961416,2.390960515463033
